ref_area,indicator,source,sex,time,obs_value,note_indicator,note_source
ISR,LAI_INSP_SEX_NB,FF:710,SEX_M,2018,103,,S3:24
ISR,LAI_INSP_SEX_NB,FF:710,SEX_F,2018,123,,S3:24
ISR,LAI_INSP_SEX_NB,FF:710,SEX_T,2019,339,,S3:24
ISR,LAI_INSP_SEX_NB,FF:710,SEX_M,2019,81,,S3:24
ISR,LAI_INSP_SEX_NB,FF:710,SEX_F,2019,118,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2010,2817,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2011,2851,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2012,2863,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2013,2880,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2014,2889,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2015,2901,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2016,2923,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2017,2978,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2018,2991,,S3:24
JPN,LAI_INSP_SEX_NB,FF:264,SEX_T,2019,3013,,S3:24
KOR,LAI_INSP_SEX_NB,FX:227,SEX_T,2015,1465,,S3:24
KOR,LAI_INSP_SEX_NB,FX:227,SEX_M,2015,1061,,S3:24
KOR,LAI_INSP_SEX_NB,FX:227,SEX_F,2015,404,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_T,2009,1606,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_T,2010,1619,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_T,2013,1080,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_M,2013,759,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_F,2013,321,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_T,2014,1143,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_M,2014,759,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_F,2014,384,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_T,2017,1278,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_M,2017,846,,S3:24
KOR,LAI_INSP_SEX_NB,FX:601,SEX_F,2017,432,,S3:24
